post_id,campaign_id,influencer_id,post_date,post_type,impressions,reach,likes,comments,shares,saves,click_throughs,conversions,revenue_attributed,is_fraud_account,sponsored_tag,budget_allocated
POST_000070,CAMP_0010,INF_0001,2023-06-07,video,18460,14371,743,91,29,13,389,89,4268.6,0,0,2653.93
POST_000071,CAMP_0010,INF_0034,2023-06-15,carousel,68947,48958,3206,142,57,219,1361,361,29499.67,0,0,2653.93
POST_000072,CAMP_0010,INF_0076,2023-05-29,reel,94058,88228,5227,478,229,364,2823,143,24226.38,0,0,2653.93
POST_000073,CAMP_0010,INF_0038,2023-05-31,post,20620,15455,2070,96,21,78,739,435,70801.99,0,0,2653.93
POST_000074,CAMP_0010,INF_0074,2023-06-07,post,140155,101331,15661,610,937,1085,5802,111,20360.1,0,0,2653.93
POST_000075,CAMP_0010,INF_0031,2023-05-24,video,18221,15866,456,64,14,10,267,380,36916.92,0,0,2653.93
POST_000076,CAMP_0010,INF_0021,2023-06-08,video,39964,36794,4329,147,177,188,357,135,18905.04,0,1,2653.93
POST_000077,CAMP_0010,INF_0099,2023-05-24,video,27051,24223,2279,286,51,80,798,420,51417.09,0,1,2653.93
POST_000078,CAMP_0010,INF_0042,2023-05-24,story,120048,85792,8432,645,160,669,3460,173,22751.19,0,0,2653.93
POST_000079,CAMP_0010,INF_0097,2023-06-17,post,14197,11981,1216,75,61,95,319,479,74388.81,0,0,2653.93
POST_000080,CAMP_0010,INF_0098,2023-06-15,story,23546,22060,1219,144,34,60,714,312,10856.08,0,0,2653.93
POST_000081,CAMP_0010,INF_0015,2023-05-25,post,307376,261397,33246,2961,846,378,8148,261,9514.45,0,1,2653.93
POST_000082,CAMP_0010,INF_0028,2023-06-03,reel,227794,160703,22926,1625,432,1170,10541,420,72881.88,0,0,2653.93
POST_000083,CAMP_0011,INF_0085,2023-03-06,carousel,203169,182191,13961,950,633,357,6400,297,43927.86,0,0,3373.91
POST_000084,CAMP_0011,INF_0087,2023-02-23,video,57779,52734,5133,232,238,328,1764,495,73924.01,0,0,3373.91
POST_000085,CAMP_0011,INF_0097,2023-02-09,story,93337,82727,9415,973,395,251,4592,63,11921.93,0,0,3373.91
POST_000086,CAMP_0011,INF_0038,2023-02-05,story,213686,160781,6169,709,258,361,4438,463,40316.84,0,0,3373.91
POST_000087,CAMP_0011,INF_0095,2023-03-05,video,38564,30381,2259,266,132,81,1631,462,46377.07,0,0,3373.91
POST_000088,CAMP_0011,INF_0040,2023-02-07,story,33472,24853,3344,113,36,121,1269,143,27424.91,0,0,3373.91
POST_000089,CAMP_0011,INF_0011,2023-02-24,video,83151,61471,6765,594,78,115,1184,492,69430.05,0,0,3373.91
POST_000090,CAMP_0011,INF_0031,2023-02-08,reel,113812,90847,10493,1233,244,508,3083,154,12405.95,0,0,3373.91
POST_000091,CAMP_0011,INF_0014,2023-02-05,post,19862,14751,571,73,23,17,172,255,16305.9,0,0,3373.91
POST_000092,CAMP_0011,INF_0016,2023-02-10,story,95153,87671,6384,877,148,228,2384,338,41405.48,0,1,3373.91
POST_000093,CAMP_0011,INF_0095,2023-02-08,reel,89281,77409,3805,236,49,253,2109,395,58618.02,0,0,3373.91
POST_000094,CAMP_0012,INF_0056,2023-09-30,video,152508,141175,13528,1925,522,811,4208,130,14425.4,0,0,1162.33
POST_000095,CAMP_0012,INF_0085,2023-10-02,reel,45571,36723,2957,425,54,234,1120,118,19757.72,0,0,1162.33
POST_000096,CAMP_0012,INF_0082,2023-10-10,carousel,202149,157985,10506,1231,529,308,5178,54,5182.75,0,0,1162.33
POST_000097,CAMP_0013,INF_0079,2023-12-12,story,36383,33358,2847,415,42,203,1619,64,8042.0,0,1,7334.8
POST_000098,CAMP_0013,INF_0063,2023-12-17,video,15728,11575,177293,83,43,9326,569,3,32.25,1,0,7334.8
POST_000099,CAMP_0013,INF_0053,2023-12-20,reel,134676,105648,7157,418,338,469,2557,481,36392.14,0,1,7334.8
POST_000100,CAMP_0013,INF_0042,2024-01-04,story,235538,180741,7024,943,117,275,8020,390,41078.23,0,0,7334.8
POST_000101,CAMP_0013,INF_0042,2023-12-10,carousel,53665,48184,5495,653,263,80,1981,454,42478.39,0,1,7334.8
POST_000102,CAMP_0014,INF_0014,2023-09-27,video,59727,49351,1392,50,39,75,631,111,8499.96,0,0,6189.67
POST_000103,CAMP_0014,INF_0086,2023-09-12,post,42649,38785,3386,173,181,95,1807,310,38355.29,0,0,6189.67
POST_000104,CAMP_0014,INF_0088,2023-09-21,post,17989,15640,449,59,21,12,421,119,20909.36,0,0,6189.67
POST_000105,CAMP_0014,INF_0003,2023-09-26,reel,260406,196851,25196,782,1400,1324,12352,341,20270.44,0,1,6189.67
POST_000106,CAMP_0014,INF_0020,2023-09-27,carousel,144790,115728,15225,1295,318,261,4056,164,23800.23,0,1,6189.67
POST_000107,CAMP_0014,INF_0084,2023-09-09,story,146211,133837,11829,778,182,334,5409,42,3661.07,0,1,6189.67
POST_000108,CAMP_0015,INF_0019,2023-02-13,post,168716,147049,9925,339,450,542,4455,302,50954.19,0,1,3800.75
POST_000109,CAMP_0015,INF_0052,2023-02-07,story,75905,66894,2808,305,106,137,3496,160,7454.8,0,1,3800.75
POST_000110,CAMP_0015,INF_0025,2023-02-14,story,53463,45250,2968,354,75,126,550,413,74655.29,0,0,3800.75
POST_000111,CAMP_0015,INF_0006,2023-03-02,video,220727,183746,17223,1799,578,670,9753,109,12543.85,0,0,3800.75
POST_000112,CAMP_0015,INF_0086,2023-03-02,post,53559,47921,2906,431,158,128,1788,244,13260.94,0,0,3800.75
POST_000113,CAMP_0015,INF_0082,2023-02-08,video,81391,72950,1666,104,80,107,880,96,12284.87,0,1,3800.75
POST_000114,CAMP_0015,INF_0041,2023-02-14,reel,120572,111288,7584,661,77,477,3484,283,18083.82,0,0,3800.75
POST_000115,CAMP_0015,INF_0032,2023-02-15,carousel,36871,31235,3442,196,185,74,1551,169,8774.18,0,1,3800.75
POST_000116,CAMP_0015,INF_0014,2023-02-13,video,58826,46461,4237,393,134,98,2803,361,71922.14,0,1,3800.75
POST_000117,CAMP_0015,INF_0003,2023-02-06,story,3562,3126,330,15,15,21,77,311,36009.98,0,1,3800.75
POST_000118,CAMP_0015,INF_0050,2023-02-04,reel,172273,138540,4282,639,184,156,5104,344,59216.3,0,1,3800.75
POST_000119,CAMP_0015,INF_0030,2023-02-19,story,71566,61238,6406,676,160,378,1706,348,16413.97,0,0,3800.75
POST_000120,CAMP_0016,INF_0052,2023-04-25,reel,60939,42851,1458,130,29,23,607,487,54404.17,0,1,7615.2
POST_000121,CAMP_0016,INF_0062,2023-04-25,video,55712,52768,5457,212,251,167,1442,473,34766.28,0,0,7615.2
POST_000122,CAMP_0016,INF_0029,2023-04-21,reel,88347,80644,2115,137,105,152,480,170,17411.26,0,0,7615.2
POST_000123,CAMP_0016,INF_0079,2023-04-20,story,172273,155690,9107,1250,525,207,3968,147,26363.1,0,1,7615.2
POST_000124,CAMP_0016,INF_0050,2023-04-21,post,88721,77545,7895,689,245,111,4206,463,76614.75,0,0,7615.2
POST_000125,CAMP_0016,INF_0061,2023-05-12,story,20758,17703,1641,207,72,115,925,102,13660.34,0,0,7615.2
POST_000126,CAMP_0016,INF_0078,2023-04-18,carousel,168455,150242,5271,418,64,265,5125,143,20212.41,0,1,7615.2
POST_000127,CAMP_0016,INF_0084,2023-05-09,video,114704,84555,10330,427,445,700,5178,137,15334.14,0,0,7615.2
POST_000128,CAMP_0016,INF_0098,2023-05-12,video,5397,4210,192,25,10,6,94,455,26443.99,0,0,7615.2
POST_000129,CAMP_0016,INF_0036,2023-04-20,video,142695,115835,8608,500,283,157,3907,420,53514.69,0,0,7615.2
POST_000130,CAMP_0017,INF_0011,2023-04-29,story,19737,17348,2061,143,99,37,773,317,35007.17,0,0,640.31
POST_000131,CAMP_0017,INF_0042,2023-04-11,reel,1875,1732,193,28,4,8,78,277,25916.5,0,1,640.31
POST_000132,CAMP_0017,INF_0056,2023-05-03,post,15426,13562,610,27,32,10,364,120,12923.74,0,0,640.31
POST_000133,CAMP_0017,INF_0001,2023-05-01,reel,260261,218178,17109,1723,602,689,8154,265,8145.41,0,0,640.31
POST_000134,CAMP_0017,INF_0010,2023-04-18,carousel,164415,151318,15298,694,449,601,5327,317,42176.0,0,0,640.31
POST_000135,CAMP_0017,INF_0061,2023-04-30,carousel,50280,38953,2729,178,137,161,2198,80,8013.34,0,0,640.31
POST_000136,CAMP_0017,INF_0062,2023-04-28,post,24914,20578,2278,256,127,133,486,77,15155.68,0,0,640.31
POST_000137,CAMP_0017,INF_0031,2023-05-06,carousel,125740,97006,8554,842,370,592,5202,223,32250.57,0,0,640.31
POST_000138,CAMP_0017,INF_0051,2023-04-17,story,5995,4415,151,5,3,2,241,412,23631.92,0,0,640.31
POST_000139,CAMP_0017,INF_0021,2023-05-05,post,169923,150484,9493,800,387,467,2666,355,55278.37,0,1,640.31
POST_000140,CAMP_0017,INF_0068,2023-04-25,reel,183668,129162,20689,1582,1196,570,6047,360,29934.42,0,1,640.31
POST_000141,CAMP_0017,INF_0096,2023-04-27,post,103580,92604,8636,994,245,669,1889,311,38229.54,0,0,640.31
POST_000142,CAMP_0017,INF_0037,2023-04-25,story,52506,38461,6103,721,97,310,865,30,3085.39,0,1,640.31
POST_000143,CAMP_0018,INF_0047,2023-04-10,post,41813,36203,4123,202,153,136,761,216,9856.24,0,1,322.5
POST_000144,CAMP_0018,INF_0094,2023-04-23,carousel,177848,165336,21006,652,912,568,1208,238,16864.48,0,1,322.5
POST_000145,CAMP_0018,INF_0004,2023-04-19,story,133126,110305,15242,1163,564,695,3581,154,5266.8,0,1,322.5
POST_000146,CAMP_0018,INF_0093,2023-04-20,reel,233655,200180,12157,484,179,300,7787,499,80570.61,0,0,322.5
POST_000147,CAMP_0018,INF_0060,2023-04-27,video,234396,201965,24275,1327,1248,1839,9050,459,89944.75,0,0,322.5
POST_000148,CAMP_0018,INF_0078,2023-04-05,carousel,6554,5934,348,14,4,25,152,416,30294.93,0,1,322.5
POST_000149,CAMP_0018,INF_0063,2023-04-20,reel,11626,10002,163514,50,6,8712,453,3,70.4,1,0,322.5
POST_000150,CAMP_0018,INF_0085,2023-04-05,story,226812,202161,12649,1142,309,514,5166,361,29323.89,0,0,322.5
POST_000151,CAMP_0018,INF_0031,2023-05-03,post,49127,38049,2062,246,102,148,2379,444,54511.28,0,1,322.5
POST_000152,CAMP_0018,INF_0079,2023-04-20,reel,4686,3637,353,15,3,22,213,315,30553.08,0,1,322.5
POST_000153,CAMP_0018,INF_0056,2023-04-11,post,40324,29382,3411,312,61,194,1231,123,16589.06,0,0,322.5
POST_000154,CAMP_0018,INF_0008,2023-04-06,post,12557,11067,194091,19,23,8560,249,5,56.74,1,0,322.5
POST_000155,CAMP_0018,INF_0071,2023-04-13,carousel,176078,152282,5283,551,290,309,2087,172,19366.58,0,1,322.5
POST_000156,CAMP_0018,INF_0053,2023-04-23,video,124169,95507,7801,238,174,274,4418,123,18582.08,0,1,322.5
POST_000157,CAMP_0019,INF_0088,2023-11-01,reel,62610,56546,5844,614,270,295,2480,466,15455.89,0,0,1613.0
POST_000158,CAMP_0019,INF_0047,2023-10-27,video,58577,44274,2698,370,99,172,2225,344,55653.53,0,1,1613.0
POST_000159,CAMP_0019,INF_0036,2023-11-15,carousel,28484,24810,2023,157,71,127,322,349,24642.8,0,0,1613.0
POST_000160,CAMP_0019,INF_0031,2023-10-27,reel,43507,32834,3331,448,57,147,340,384,43083.1,0,1,1613.0
POST_000161,CAMP_0019,INF_0056,2023-11-13,reel,16049,11394,652,90,18,36,154,250,46510.83,0,1,1613.0
POST_000162,CAMP_0019,INF_0018,2023-11-05,reel,241343,200113,18791,1849,541,682,11059,203,18696.39,0,1,1613.0
POST_000163,CAMP_0019,INF_0061,2023-10-20,video,112176,83167,6113,764,332,94,3809,13,1499.06,0,0,1613.0
POST_000164,CAMP_0019,INF_0085,2023-10-26,reel,17771,14578,999,115,15,43,257,127,12761.51,0,0,1613.0
POST_000165,CAMP_0019,INF_0086,2023-11-01,reel,206616,190644,4596,161,177,93,2579,92,4867.08,0,0,1613.0
POST_000166,CAMP_0019,INF_0015,2023-11-11,story,186195,174429,14883,1453,162,374,6012,378,58119.63,0,1,1613.0
POST_000167,CAMP_0020,INF_0087,2023-02-18,carousel,111159,96829,2988,225,49,202,3584,18,1159.19,0,0,5696.73
POST_000168,CAMP_0020,INF_0018,2023-02-06,post,163120,150966,13046,1765,477,622,824,395,19741.23,0,1,5696.73
POST_000169,CAMP_0020,INF_0084,2023-02-16,video,98217,77358,10556,1200,331,700,4503,490,81531.61,0,0,5696.73
POST_000170,CAMP_0020,INF_0061,2023-02-08,video,41129,31441,2785,161,147,28,1581,155,20415.0,0,0,5696.73
POST_000171,CAMP_0020,INF_0080,2023-02-02,reel,127378,94093,9168,687,185,509,2090,421,35239.09,0,1,5696.73
POST_000172,CAMP_0020,INF_0083,2023-02-08,video,96151,71601,4572,510,218,224,2573,221,27372.58,0,1,5696.73
POST_000173,CAMP_0020,INF_0019,2023-01-29,video,94392,84554,8547,1011,450,653,897,347,17434.87,0,1,5696.73
POST_000174,CAMP_0020,INF_0066,2023-01-27,video,18121,17054,194330,88,49,2015,164,5,120.68,1,0,5696.73
POST_000175,CAMP_0020,INF_0027,2023-02-14,video,165380,154245,10507,396,221,399,5710,50,6676.75,0,1,5696.73
POST_000176,CAMP_0020,INF_0073,2023-01-28,carousel,256386,197802,6600,810,123,81,8198,263,27516.44,0,0,5696.73
POST_000177,CAMP_0020,INF_0035,2023-01-30,video,66060,52073,1559,91,15,58,2072,90,4028.7,0,0,5696.73
POST_000178,CAMP_0021,INF_0074,2023-03-23,story,168597,157933,3450,175,121,228,8101,296,12522.46,0,1,1980.18
POST_000179,CAMP_0021,INF_0007,2023-03-28,video,134912,124676,7785,685,172,547,3600,183,35394.14,0,1,1980.18
POST_000180,CAMP_0021,INF_0010,2023-04-13,story,13321,11044,1316,74,59,14,565,419,35059.5,0,0,1980.18
POST_000181,CAMP_0021,INF_0029,2023-03-24,story,24246,18297,2118,272,29,106,320,486,29326.49,0,0,1980.18
POST_000182,CAMP_0021,INF_0083,2023-03-21,carousel,144578,114073,6287,371,146,405,1502,127,8187.73,0,0,1980.18
POST_000183,CAMP_0021,INF_0092,2023-03-29,story,241990,206941,16761,516,885,745,11940,500,18592.37,0,1,1980.18
POST_000184,CAMP_0021,INF_0035,2023-03-15,carousel,55015,49503,5304,484,158,230,1613,394,50445.03,0,1,1980.18
POST_000185,CAMP_0021,INF_0097,2023-04-05,reel,130286,91585,12714,1078,203,314,4057,275,29758.3,0,1,1980.18
POST_000186,CAMP_0021,INF_0028,2023-03-24,story,91000,67884,4183,400,91,165,2171,251,48430.34,0,1,1980.18
POST_000187,CAMP_0021,INF_0061,2023-04-09,reel,120317,105903,5770,297,95,382,3608,304,44573.1,0,1,1980.18
POST_000188,CAMP_0021,INF_0020,2023-03-18,carousel,20211,16845,2342,112,117,75,543,100,10165.85,0,1,1980.18
POST_000189,CAMP_0022,INF_0057,2023-01-24,story,46171,42331,2586,250,130,200,644,186,6207.19,0,0,3932.0
POST_000190,CAMP_0022,INF_0057,2023-02-02,carousel,112125,86519,5887,537,286,319,1291,238,43134.53,0,0,3932.0
POST_000191,CAMP_0022,INF_0040,2023-01-23,post,199270,156607,10708,1132,413,342,6852,444,81785.87,0,1,3932.0
POST_000192,CAMP_0022,INF_0070,2023-02-06,video,156938,126099,7395,616,392,169,947,195,30642.74,0,0,3932.0
POST_000193,CAMP_0022,INF_0007,2023-01-23,video,88370,73975,8341,1000,171,98,2020,213,10119.97,0,0,3932.0
POST_000194,CAMP_0022,INF_0082,2023-02-13,story,15316,12418,544,59,29,10,439,168,11590.41,0,0,3932.0
POST_000195,CAMP_0022,INF_0048,2023-02-07,story,2419,2025,134,18,7,2,115,249,48740.97,0,0,3932.0
POST_000196,CAMP_0022,INF_0063,2023-02-10,carousel,14790,11497,169680,90,45,5820,433,4,74.8,1,0,3932.0
POST_000197,CAMP_0022,INF_0045,2023-02-17,post,67382,52960,4125,200,43,176,362,277,46706.23,0,1,3932.0
POST_000198,CAMP_0023,INF_0095,2023-04-05,video,3767,3417,146,19,4,3,32,137,7912.55,0,0,452.5
POST_000199,CAMP_0023,INF_0048,2023-03-30,story,154124,123796,17107,2171,756,1193,2035,155,21736.84,0,1,452.5
POST_000200,CAMP_0023,INF_0001,2023-03-17,reel,30306,28561,2478,155,101,28,1477,106,8958.0,0,1,452.5
POST_000201,CAMP_0023,INF_0044,2023-03-23,video,25577,19896,1632,50,23,107,1276,17,1936.44,0,1,452.5
POST_000202,CAMP_0023,INF_0030,2023-03-25,reel,212923,177960,11290,1481,650,256,9646,38,2861.61,0,1,452.5
POST_000203,CAMP_0023,INF_0024,2023-03-27,post,142589,126106,3031,445,138,37,3669,207,33349.42,0,0,452.5
POST_000204,CAMP_0024,INF_0053,2023-11-06,story,94893,66782,5318,192,230,348,2971,67,4697.65,0,1,2904.73
POST_000205,CAMP_0024,INF_0099,2023-11-04,reel,102948,78464,12032,1199,535,541,3692,362,47550.9,0,1,2904.73
POST_000206,CAMP_0024,INF_0048,2023-11-18,reel,336145,245875,32255,1200,895,847,16530,88,13131.87,0,1,2904.73
POST_000207,CAMP_0024,INF_0069,2023-11-21,reel,271385,222895,25325,824,731,1028,4956,380,20103.7,0,1,2904.73
POST_000208,CAMP_0024,INF_0032,2023-11-22,carousel,45980,34029,3419,235,114,161,1159,454,77783.56,0,1,2904.73
POST_000209,CAMP_0024,INF_0033,2023-11-12,story,92543,82733,1857,197,53,49,3465,104,18730.24,0,1,2904.73
POST_000210,CAMP_0024,INF_0063,2023-11-06,story,13586,9885,180429,80,14,8412,108,4,62.65,1,0,2904.73
POST_000211,CAMP_0024,INF_0005,2023-11-05,video,61572,51194,2475,218,36,146,1016,302,42007.53,0,1,2904.73
POST_000212,CAMP_0024,INF_0094,2023-11-19,reel,55963,45722,1515,214,30,82,1188,261,49023.27,0,1,2904.73
POST_000213,CAMP_0024,INF_0053,2023-11-19,story,140141,100829,12730,1640,296,319,3976,30,4644.93,0,0,2904.73
POST_000214,CAMP_0024,INF_0026,2023-10-29,carousel,91912,81553,5379,286,230,210,895,301,41027.88,0,1,2904.73
POST_000215,CAMP_0025,INF_0068,2023-01-27,carousel,203877,154983,10696,797,515,515,4460,230,39202.66,0,1,551.75
POST_000216,CAMP_0025,INF_0071,2023-02-02,post,131165,124390,8492,659,393,264,2428,155,20348.35,0,0,551.75
POST_000217,CAMP_0025,INF_0043,2023-02-02,carousel,72157,60804,1599,205,71,79,666,151,28123.61,0,1,551.75
POST_000218,CAMP_0025,INF_0011,2023-01-19,carousel,37080,29662,1724,235,38,128,1410,141,23671.45,0,1,551.75
POST_000219,CAMP_0025,INF_0080,2023-02-05,story,163874,116242,11279,1555,509,750,3633,429,79065.33,0,0,551.75
