engagement_id,post_id,comment_sentiment,commenter_follower_count,commenter_account_age_days,like_velocity_per_hour,engagement_spike_detected,bot_probability
ENG_00000058,POST_000006,positive,804,1386,22,0,0.084
ENG_00000059,POST_000006,positive,1807,1867,83,0,0.074
ENG_00000060,POST_000006,positive,1762,1674,39,0,0.132
ENG_00000061,POST_000006,neutral,1723,660,173,0,0.135
ENG_00000062,POST_000006,negative,1878,961,316,0,0.107
ENG_00000063,POST_000007,negative,832,299,39,0,0.108
ENG_00000064,POST_000007,neutral,4411,1860,314,0,0.088
ENG_00000065,POST_000007,positive,3732,1247,68,0,0.109
ENG_00000066,POST_000007,negative,2637,1928,431,0,0.08
ENG_00000067,POST_000007,positive,4414,1498,495,0,0.035
ENG_00000068,POST_000007,neutral,2382,312,181,0,0.082
ENG_00000069,POST_000008,neutral,514,1453,388,0,0.035
ENG_00000070,POST_000008,negative,1907,1477,237,0,0.063
ENG_00000071,POST_000008,positive,3520,986,97,0,0.08
ENG_00000072,POST_000008,neutral,4293,1795,425,0,0.012
ENG_00000073,POST_000008,spam,3615,1244,44,0,0.052
ENG_00000074,POST_000008,spam,4786,800,409,0,0.069
ENG_00000075,POST_000008,neutral,2200,1755,244,0,0.127
ENG_00000076,POST_000008,negative,1904,330,434,0,0.129
ENG_00000077,POST_000008,positive,2957,1574,290,0,0.142
ENG_00000078,POST_000008,neutral,2103,197,451,0,0.092
ENG_00000079,POST_000008,positive,1761,1418,239,0,0.093
ENG_00000080,POST_000008,positive,1242,373,295,0,0.088
ENG_00000081,POST_000009,spam,8,22,65337,1,0.896
ENG_00000082,POST_000009,spam,26,24,56658,1,0.905
ENG_00000083,POST_000009,spam,6,13,73677,1,0.853
ENG_00000084,POST_000009,spam,6,17,74912,1,0.865
ENG_00000085,POST_000010,neutral,4545,1839,500,0,0.033
ENG_00000086,POST_000010,negative,3642,1295,279,0,0.136
ENG_00000087,POST_000010,neutral,301,359,383,0,0.098
ENG_00000088,POST_000010,negative,1422,1121,483,0,0.06
ENG_00000089,POST_000010,neutral,1607,1050,231,0,0.065
ENG_00000090,POST_000011,negative,4317,202,301,0,0.105
ENG_00000091,POST_000011,positive,3352,355,496,0,0.059
ENG_00000092,POST_000011,negative,1484,563,291,0,0.138
ENG_00000093,POST_000011,neutral,4505,1427,10,0,0.07
ENG_00000094,POST_000011,neutral,2081,1835,172,0,0.085
ENG_00000095,POST_000011,positive,2749,879,328,0,0.071
ENG_00000096,POST_000011,positive,3653,840,318,0,0.125
ENG_00000097,POST_000011,positive,304,1304,439,0,0.028
ENG_00000098,POST_000011,neutral,4459,230,172,0,0.004
ENG_00000099,POST_000011,positive,2483,435,405,0,0.066
ENG_00000100,POST_000011,negative,3274,855,257,0,0.083
ENG_00000101,POST_000012,neutral,1239,1388,500,0,0.142
ENG_00000102,POST_000012,positive,3347,898,420,0,0.014
ENG_00000103,POST_000012,neutral,757,1507,68,0,0.126
ENG_00000104,POST_000012,positive,3610,260,38,0,0.131
ENG_00000105,POST_000012,positive,457,188,377,0,0.091
ENG_00000106,POST_000012,positive,4969,1621,336,0,0.027
ENG_00000107,POST_000013,neutral,4124,895,337,0,0.069
ENG_00000108,POST_000013,positive,2008,1495,18,0,0.116
ENG_00000109,POST_000013,neutral,247,432,62,0,0.11
ENG_00000110,POST_000013,positive,208,310,339,0,0.076
ENG_00000111,POST_000013,negative,395,1190,150,0,0.026
ENG_00000112,POST_000013,neutral,288,1002,348,0,0.096
ENG_00000113,POST_000013,positive,1584,511,126,0,0.128
ENG_00000114,POST_000013,positive,1827,1861,70,0,0.095
ENG_00000115,POST_000013,positive,1477,1995,31,0,0.002
ENG_00000116,POST_000013,spam,1702,220,491,0,0.02
ENG_00000117,POST_000014,neutral,3253,1513,373,0,0.064
ENG_00000118,POST_000014,positive,4803,1104,196,0,0.036
ENG_00000119,POST_000014,negative,2461,230,367,0,0.121
ENG_00000120,POST_000014,positive,853,1832,338,0,0.114
ENG_00000121,POST_000014,positive,4995,932,471,0,0.061
ENG_00000122,POST_000014,neutral,4163,703,35,0,0.108
ENG_00000123,POST_000014,neutral,4138,1795,116,0,0.054
ENG_00000124,POST_000015,positive,3152,628,140,0,0.05
ENG_00000125,POST_000015,positive,3219,1522,229,0,0.134
ENG_00000126,POST_000015,spam,3531,904,484,0,0.131
ENG_00000127,POST_000015,positive,2292,1217,111,0,0.118
ENG_00000128,POST_000015,neutral,1973,1534,491,0,0.139
ENG_00000129,POST_000015,neutral,3614,1470,91,0,0.128
ENG_00000130,POST_000015,negative,1868,1069,210,0,0.124
ENG_00000131,POST_000016,positive,1363,240,450,0,0.099
ENG_00000132,POST_000016,positive,3089,1254,251,0,0.001
ENG_00000133,POST_000016,neutral,2481,679,91,0,0.116
ENG_00000134,POST_000016,neutral,4694,627,346,0,0.124
ENG_00000135,POST_000016,positive,2097,1964,383,0,0.065
ENG_00000136,POST_000016,neutral,2862,1954,284,0,0.005
ENG_00000137,POST_000016,positive,2603,833,419,0,0.009
ENG_00000138,POST_000016,spam,361,1400,99,0,0.08
ENG_00000139,POST_000016,positive,1453,1680,431,0,0.001
ENG_00000140,POST_000016,positive,2396,532,479,0,0.148
ENG_00000141,POST_000016,neutral,1706,1341,33,0,0.105
ENG_00000142,POST_000017,positive,4114,470,442,0,0.146
ENG_00000143,POST_000017,positive,2929,1545,331,0,0.145
ENG_00000144,POST_000017,positive,4705,238,42,0,0.063
ENG_00000145,POST_000017,positive,2976,405,191,0,0.006
ENG_00000146,POST_000017,positive,139,794,185,0,0.003
ENG_00000147,POST_000017,positive,4706,372,169,0,0.031
ENG_00000148,POST_000017,positive,630,465,475,0,0.07
ENG_00000149,POST_000017,positive,2004,1868,124,0,0.113
ENG_00000150,POST_000017,neutral,2808,565,50,0,0.12
ENG_00000151,POST_000017,neutral,923,408,82,0,0.036
ENG_00000152,POST_000018,neutral,2350,1959,95,0,0.06
ENG_00000153,POST_000018,positive,3874,1853,145,0,0.022
ENG_00000154,POST_000018,positive,3215,555,422,0,0.1
ENG_00000155,POST_000018,positive,518,1252,196,0,0.074
ENG_00000156,POST_000018,neutral,4638,1644,356,0,0.053
ENG_00000157,POST_000018,positive,757,711,333,0,0.113
ENG_00000158,POST_000018,spam,762,1377,128,0,0.049
ENG_00000159,POST_000018,positive,2593,884,434,0,0.054
ENG_00000160,POST_000019,neutral,3817,1610,26,0,0.139
ENG_00000161,POST_000019,positive,3982,561,288,0,0.127
ENG_00000162,POST_000019,positive,1736,686,236,0,0.038
ENG_00000163,POST_000019,positive,1250,1912,54,0,0.1
ENG_00000164,POST_000019,negative,3168,1046,378,0,0.108
ENG_00000165,POST_000019,negative,1466,1738,227,0,0.039
ENG_00000166,POST_000019,positive,3575,238,273,0,0.039
ENG_00000167,POST_000019,positive,3721,983,91,0,0.002
ENG_00000168,POST_000019,neutral,585,1048,302,0,0.035
ENG_00000169,POST_000019,neutral,3634,672,20,0,0.119
ENG_00000170,POST_000019,positive,4996,868,496,0,0.011
ENG_00000171,POST_000019,neutral,585,816,181,0,0.005
ENG_00000172,POST_000019,positive,4934,1285,83,0,0.138
ENG_00000173,POST_000019,positive,3530,1082,126,0,0.102
ENG_00000174,POST_000019,positive,1519,1737,120,0,0.042
ENG_00000175,POST_000020,negative,4450,1318,281,0,0.144
ENG_00000176,POST_000020,positive,2919,1921,489,0,0.014
ENG_00000177,POST_000020,positive,1347,297,84,0,0.055
ENG_00000178,POST_000020,negative,3382,789,197,0,0.007
ENG_00000179,POST_000020,neutral,4629,539,412,0,0.108
ENG_00000180,POST_000020,positive,2191,451,251,0,0.054
ENG_00000181,POST_000021,positive,3922,558,320,0,0.091
ENG_00000182,POST_000021,positive,2813,779,312,0,0.004
ENG_00000183,POST_000021,positive,2219,577,468,0,0.013
ENG_00000184,POST_000021,negative,1763,1504,163,0,0.037
ENG_00000185,POST_000021,negative,3151,640,478,0,0.119
ENG_00000186,POST_000021,negative,1384,1540,309,0,0.073
ENG_00000187,POST_000021,positive,978,836,18,0,0.061
ENG_00000188,POST_000021,neutral,1039,1558,489,0,0.07
ENG_00000189,POST_000022,positive,2883,1836,42,0,0.136
ENG_00000190,POST_000022,positive,1424,1222,67,0,0.126
ENG_00000191,POST_000022,positive,783,1702,37,0,0.11
ENG_00000192,POST_000022,positive,1374,500,60,0,0.089
ENG_00000193,POST_000022,positive,4746,334,412,0,0.048
ENG_00000194,POST_000023,neutral,3664,1773,257,0,0.017
ENG_00000195,POST_000023,positive,1221,1336,273,0,0.102
ENG_00000196,POST_000023,positive,3721,1497,159,0,0.052
ENG_00000197,POST_000023,neutral,763,944,452,0,0.029
ENG_00000198,POST_000023,positive,2703,284,15,0,0.121
ENG_00000199,POST_000023,positive,1172,1769,340,0,0.057
ENG_00000200,POST_000024,neutral,4691,1192,294,0,0.092
ENG_00000201,POST_000024,negative,2636,1486,187,0,0.132
ENG_00000202,POST_000024,positive,2690,1210,214,0,0.068
ENG_00000203,POST_000024,positive,2047,1508,408,0,0.007
ENG_00000204,POST_000024,positive,1785,739,218,0,0.103
ENG_00000205,POST_000024,positive,2950,789,330,0,0.01
ENG_00000206,POST_000024,neutral,1297,671,413,0,0.064
ENG_00000207,POST_000024,neutral,465,334,464,0,0.037
ENG_00000208,POST_000024,neutral,1182,1094,98,0,0.011
ENG_00000209,POST_000024,negative,2668,385,134,0,0.037
ENG_00000210,POST_000024,positive,923,1297,168,0,0.024
ENG_00000211,POST_000024,positive,2025,1276,346,0,0.082
ENG_00000212,POST_000024,positive,2033,535,26,0,0.116
ENG_00000213,POST_000024,neutral,729,1985,395,0,0.101
ENG_00000214,POST_000024,neutral,3467,635,222,0,0.126
ENG_00000215,POST_000025,neutral,804,1508,490,0,0.105
ENG_00000216,POST_000025,spam,3216,1409,16,0,0.07
ENG_00000217,POST_000025,neutral,2608,1507,258,0,0.064
ENG_00000218,POST_000025,positive,450,227,191,0,0.019
ENG_00000219,POST_000025,positive,916,1778,35,0,0.145
ENG_00000220,POST_000025,negative,3841,413,232,0,0.036
ENG_00000221,POST_000026,positive,325,1807,344,0,0.101
ENG_00000222,POST_000026,negative,2726,393,102,0,0.033
ENG_00000223,POST_000026,positive,3141,345,401,0,0.017
ENG_00000224,POST_000026,neutral,759,1454,145,0,0.12
ENG_00000225,POST_000026,positive,2226,924,225,0,0.091
ENG_00000226,POST_000026,positive,3339,884,183,0,0.058
ENG_00000227,POST_000026,positive,1624,1108,229,0,0.075
ENG_00000228,POST_000026,positive,3754,1683,360,0,0.122
ENG_00000229,POST_000026,neutral,4204,1204,222,0,0.113
ENG_00000230,POST_000026,negative,2070,1377,191,0,0.06
ENG_00000231,POST_000026,positive,3390,1746,434,0,0.057
ENG_00000232,POST_000027,positive,1892,231,200,0,0.055
ENG_00000233,POST_000027,positive,906,580,288,0,0.127
ENG_00000234,POST_000027,neutral,2446,1865,33,0,0.025
ENG_00000235,POST_000027,positive,2464,1546,204,0,0.144
ENG_00000236,POST_000027,positive,3302,1994,205,0,0.026
ENG_00000237,POST_000027,positive,1889,181,161,0,0.143
ENG_00000238,POST_000027,positive,3844,1032,408,0,0.015
ENG_00000239,POST_000027,positive,937,947,105,0,0.044
ENG_00000240,POST_000027,positive,3350,1269,387,0,0.063
ENG_00000241,POST_000027,negative,3505,716,255,0,0.004
ENG_00000242,POST_000027,positive,2665,952,285,0,0.147
ENG_00000243,POST_000027,positive,4282,1169,484,0,0.003
ENG_00000244,POST_000027,positive,4677,1776,128,0,0.0
ENG_00000245,POST_000027,positive,1901,1176,359,0,0.091
ENG_00000246,POST_000027,neutral,3389,1672,126,0,0.104
ENG_00000247,POST_000028,neutral,4823,550,392,0,0.143
ENG_00000248,POST_000028,neutral,4964,412,348,0,0.097
ENG_00000249,POST_000028,positive,572,965,178,0,0.09
ENG_00000250,POST_000028,positive,457,721,35,0,0.057
ENG_00000251,POST_000029,positive,871,347,288,0,0.068
ENG_00000252,POST_000029,positive,1385,755,255,0,0.019
ENG_00000253,POST_000029,positive,816,1278,68,0,0.067
ENG_00000254,POST_000029,neutral,3380,1515,37,0,0.127
ENG_00000255,POST_000029,positive,3771,1256,323,0,0.109
ENG_00000256,POST_000029,negative,4365,1523,139,0,0.125
ENG_00000257,POST_000029,positive,2433,1371,324,0,0.067
ENG_00000258,POST_000029,neutral,2686,510,486,0,0.13
ENG_00000259,POST_000029,positive,1117,406,152,0,0.082
ENG_00000260,POST_000029,positive,2850,1035,192,0,0.078
ENG_00000261,POST_000029,positive,4478,1537,62,0,0.149
ENG_00000262,POST_000029,negative,177,1066,49,0,0.074
ENG_00000263,POST_000029,neutral,2667,1012,451,0,0.036
ENG_00000264,POST_000030,positive,871,524,315,0,0.069
ENG_00000265,POST_000030,spam,2986,1098,428,0,0.027
ENG_00000266,POST_000030,negative,3494,391,224,0,0.09
ENG_00000267,POST_000030,neutral,1885,1179,477,0,0.084
ENG_00000268,POST_000030,positive,4801,1898,466,0,0.032
ENG_00000269,POST_000030,negative,4933,1507,307,0,0.133
ENG_00000270,POST_000030,positive,4445,521,367,0,0.007
ENG_00000271,POST_000030,neutral,206,1203,49,0,0.064
ENG_00000272,POST_000030,positive,1644,1808,359,0,0.104
ENG_00000273,POST_000031,positive,1693,1043,481,0,0.018
ENG_00000274,POST_000031,negative,729,1142,324,0,0.129
ENG_00000275,POST_000031,positive,4838,255,396,0,0.127
ENG_00000276,POST_000031,positive,561,676,253,0,0.101
ENG_00000277,POST_000032,spam,18,12,77618,1,0.936
ENG_00000278,POST_000032,spam,21,23,65194,1,0.967
ENG_00000279,POST_000032,spam,15,22,26208,1,0.787
ENG_00000280,POST_000032,spam,46,7,30201,1,0.785
ENG_00000281,POST_000032,spam,21,4,67402,1,0.944
ENG_00000282,POST_000032,neutral,38,23,34150,1,0.827
ENG_00000283,POST_000032,spam,4,21,43300,1,0.95
ENG_00000284,POST_000032,spam,11,29,23932,1,0.947
ENG_00000285,POST_000032,spam,45,7,63191,1,0.945
ENG_00000286,POST_000032,negative,34,13,40575,1,0.887
ENG_00000287,POST_000032,spam,16,4,37251,1,0.924
ENG_00000288,POST_000032,spam,20,8,22296,1,0.825
ENG_00000289,POST_000033,spam,38,8,11137,1,0.965
ENG_00000290,POST_000033,spam,38,13,78329,1,0.909
ENG_00000291,POST_000033,spam,39,2,66183,1,0.917
ENG_00000292,POST_000033,spam,50,19,70924,1,0.783
ENG_00000293,POST_000033,spam,46,2,33047,1,0.919
ENG_00000294,POST_000033,spam,40,25,34665,1,0.829
ENG_00000295,POST_000034,negative,3528,1000,270,0,0.01
ENG_00000296,POST_000034,negative,1867,1453,250,0,0.029
ENG_00000297,POST_000034,positive,335,1159,364,0,0.02
ENG_00000298,POST_000034,positive,1954,1627,160,0,0.146
ENG_00000299,POST_000034,neutral,1576,805,77,0,0.098
ENG_00000300,POST_000034,neutral,2314,372,362,0,0.093
ENG_00000301,POST_000034,negative,1980,1840,424,0,0.009
ENG_00000302,POST_000034,neutral,2112,558,385,0,0.035
ENG_00000303,POST_000034,positive,218,372,466,0,0.082
ENG_00000304,POST_000034,neutral,2639,774,147,0,0.025
ENG_00000305,POST_000034,neutral,4628,1967,446,0,0.041
ENG_00000306,POST_000034,neutral,352,502,364,0,0.042
ENG_00000307,POST_000034,negative,3113,194,367,0,0.09
ENG_00000308,POST_000034,positive,2975,1616,467,0,0.141
ENG_00000309,POST_000034,positive,4316,1052,346,0,0.01
ENG_00000310,POST_000035,positive,2344,196,323,0,0.12
ENG_00000311,POST_000035,positive,2630,1193,189,0,0.029
ENG_00000312,POST_000035,neutral,632,574,249,0,0.006
ENG_00000313,POST_000035,positive,1199,794,439,0,0.049
ENG_00000314,POST_000035,positive,557,1221,475,0,0.124
ENG_00000315,POST_000035,positive,723,1546,471,0,0.123
ENG_00000316,POST_000035,positive,1735,831,206,0,0.048
ENG_00000317,POST_000035,positive,4834,1395,99,0,0.005
ENG_00000318,POST_000036,positive,3231,1636,205,0,0.065
ENG_00000319,POST_000036,neutral,3568,1408,98,0,0.116
ENG_00000320,POST_000036,neutral,2014,654,285,0,0.058
ENG_00000321,POST_000036,neutral,860,1889,43,0,0.094
ENG_00000322,POST_000036,neutral,1671,1426,356,0,0.002
ENG_00000323,POST_000037,neutral,2603,439,153,0,0.098
ENG_00000324,POST_000037,negative,2508,184,203,0,0.064
ENG_00000325,POST_000037,positive,1638,733,219,0,0.029
ENG_00000326,POST_000037,negative,4338,1283,319,0,0.035
ENG_00000327,POST_000037,positive,1809,1147,199,0,0.015
ENG_00000328,POST_000037,spam,4415,960,233,0,0.135
ENG_00000329,POST_000037,positive,405,1219,232,0,0.116
ENG_00000330,POST_000037,positive,2459,539,155,0,0.037
ENG_00000331,POST_000037,neutral,3243,1450,493,0,0.02
ENG_00000332,POST_000037,positive,270,1101,147,0,0.031
ENG_00000333,POST_000037,negative,277,1362,451,0,0.052
ENG_00000334,POST_000037,spam,4682,1477,472,0,0.14
ENG_00000335,POST_000038,spam,23,20,45648,1,0.961
ENG_00000336,POST_000038,spam,40,28,11082,1,0.81
ENG_00000337,POST_000038,spam,38,28,65305,1,0.818
ENG_00000338,POST_000038,spam,38,4,71646,1,0.847
ENG_00000339,POST_000038,positive,29,4,78555,1,0.798
ENG_00000340,POST_000038,positive,37,26,54593,1,0.816
ENG_00000341,POST_000038,spam,29,7,46014,1,0.987
ENG_00000342,POST_000038,spam,39,21,62686,1,0.91
ENG_00000343,POST_000038,spam,27,14,68978,1,0.891
ENG_00000344,POST_000038,spam,16,15,12149,1,0.848
ENG_00000345,POST_000038,negative,44,28,12916,1,0.959
ENG_00000346,POST_000038,spam,27,19,16748,1,0.77
ENG_00000347,POST_000038,spam,28,30,20752,1,0.769
ENG_00000348,POST_000038,spam,13,26,78629,1,0.813
ENG_00000349,POST_000038,spam,45,30,68724,1,0.775
ENG_00000350,POST_000039,positive,3036,1037,231,0,0.109
ENG_00000351,POST_000039,positive,2874,336,287,0,0.109
ENG_00000352,POST_000039,positive,263,1585,59,0,0.058
ENG_00000353,POST_000039,neutral,2236,1332,464,0,0.108
ENG_00000354,POST_000039,positive,2427,1601,116,0,0.145
ENG_00000355,POST_000039,positive,3663,1358,274,0,0.049
ENG_00000356,POST_000039,negative,2379,843,398,0,0.136
ENG_00000357,POST_000039,neutral,3450,1016,448,0,0.106
ENG_00000358,POST_000039,neutral,1978,1172,185,0,0.047
ENG_00000359,POST_000040,negative,2265,544,417,0,0.084
ENG_00000360,POST_000040,positive,4499,1383,95,0,0.135
ENG_00000361,POST_000040,negative,1118,795,500,0,0.005
ENG_00000362,POST_000040,positive,556,1945,359,0,0.129
ENG_00000363,POST_000040,neutral,4118,1056,391,0,0.026
ENG_00000364,POST_000041,negative,2564,1233,414,0,0.011
ENG_00000365,POST_000041,positive,2142,1239,341,0,0.043
ENG_00000366,POST_000041,positive,3435,1940,296,0,0.13
ENG_00000367,POST_000041,neutral,1704,841,272,0,0.053
ENG_00000368,POST_000041,positive,792,224,404,0,0.012
ENG_00000369,POST_000041,neutral,3698,1304,305,0,0.057
ENG_00000370,POST_000041,positive,1807,183,398,0,0.044
ENG_00000371,POST_000041,negative,3121,481,474,0,0.13
ENG_00000372,POST_000041,neutral,3865,897,278,0,0.056
ENG_00000373,POST_000042,positive,1871,973,177,0,0.062
ENG_00000374,POST_000042,positive,1691,1710,226,0,0.032
ENG_00000375,POST_000042,positive,2404,612,331,0,0.089
ENG_00000376,POST_000042,positive,4996,953,392,0,0.111
ENG_00000377,POST_000042,positive,959,1280,46,0,0.101
ENG_00000378,POST_000042,positive,1921,939,235,0,0.102
ENG_00000379,POST_000042,positive,491,1098,461,0,0.033
ENG_00000380,POST_000042,positive,3757,797,153,0,0.13
ENG_00000381,POST_000042,positive,3606,534,355,0,0.062
ENG_00000382,POST_000042,positive,2107,983,237,0,0.081
ENG_00000383,POST_000043,positive,4640,1995,319,0,0.073
ENG_00000384,POST_000043,positive,4161,1763,449,0,0.056
ENG_00000385,POST_000043,positive,2449,1511,132,0,0.141
ENG_00000386,POST_000043,negative,2838,463,310,0,0.053
ENG_00000387,POST_000043,positive,3865,1792,139,0,0.132
ENG_00000388,POST_000043,negative,2066,1155,209,0,0.07
ENG_00000389,POST_000043,neutral,2405,231,145,0,0.131
ENG_00000390,POST_000043,positive,4032,1042,249,0,0.053
ENG_00000391,POST_000043,positive,3746,898,112,0,0.045
ENG_00000392,POST_000043,positive,3959,1749,116,0,0.098
ENG_00000393,POST_000043,positive,4919,299,413,0,0.005
ENG_00000394,POST_000043,neutral,4777,1923,152,0,0.111
ENG_00000395,POST_000043,neutral,3152,995,192,0,0.109
ENG_00000396,POST_000043,positive,2479,1659,144,0,0.052
ENG_00000397,POST_000044,spam,2832,1520,346,0,0.063
ENG_00000398,POST_000044,positive,1576,590,452,0,0.102
ENG_00000399,POST_000044,negative,3621,245,333,0,0.103
ENG_00000400,POST_000044,negative,210,1944,500,0,0.006
ENG_00000401,POST_000044,positive,4774,1689,50,0,0.011
ENG_00000402,POST_000044,neutral,2620,1377,395,0,0.1
ENG_00000403,POST_000044,negative,737,341,317,0,0.103
ENG_00000404,POST_000044,neutral,4750,1391,386,0,0.06
ENG_00000405,POST_000044,positive,758,357,290,0,0.015
ENG_00000406,POST_000044,negative,4215,620,393,0,0.144
ENG_00000407,POST_000044,neutral,2366,1002,228,0,0.011
ENG_00000408,POST_000045,positive,3775,1050,482,0,0.014
ENG_00000409,POST_000045,neutral,3445,1226,259,0,0.1
ENG_00000410,POST_000045,positive,3881,1681,308,0,0.062
ENG_00000411,POST_000045,neutral,3240,1301,463,0,0.022
ENG_00000412,POST_000045,neutral,3154,1638,78,0,0.055
ENG_00000413,POST_000045,positive,4901,947,18,0,0.079
ENG_00000414,POST_000045,neutral,2362,1651,94,0,0.105
ENG_00000415,POST_000045,neutral,129,1675,102,0,0.086
ENG_00000416,POST_000045,positive,3563,765,447,0,0.003
ENG_00000417,POST_000045,positive,4041,1573,133,0,0.093
ENG_00000418,POST_000045,positive,1374,317,139,0,0.008
ENG_00000419,POST_000045,positive,822,1269,208,0,0.056
ENG_00000420,POST_000045,positive,2619,1103,454,0,0.037
ENG_00000421,POST_000045,neutral,839,698,242,0,0.11
ENG_00000422,POST_000046,positive,2239,1112,163,0,0.13
ENG_00000423,POST_000046,negative,121,564,177,0,0.091
ENG_00000424,POST_000046,positive,236,1708,457,0,0.101
ENG_00000425,POST_000046,negative,1950,1783,268,0,0.072
ENG_00000426,POST_000046,positive,3027,348,285,0,0.137
ENG_00000427,POST_000046,neutral,3428,1027,168,0,0.139
ENG_00000428,POST_000046,negative,4024,799,58,0,0.031
ENG_00000429,POST_000046,spam,3102,336,268,0,0.101
ENG_00000430,POST_000046,positive,3010,1232,201,0,0.029
ENG_00000431,POST_000046,negative,3527,1761,172,0,0.08
ENG_00000432,POST_000046,positive,1820,1453,489,0,0.079
ENG_00000433,POST_000047,positive,1474,1600,70,0,0.073
ENG_00000434,POST_000047,neutral,2915,1975,328,0,0.121
ENG_00000435,POST_000047,positive,4829,1250,165,0,0.106
ENG_00000436,POST_000047,neutral,722,529,293,0,0.147
ENG_00000437,POST_000047,positive,4350,1899,464,0,0.146
ENG_00000438,POST_000047,positive,3874,886,398,0,0.093
ENG_00000439,POST_000047,positive,1783,1928,59,0,0.088
ENG_00000440,POST_000047,positive,4785,367,290,0,0.134
ENG_00000441,POST_000047,neutral,554,581,282,0,0.01
ENG_00000442,POST_000047,positive,3255,567,142,0,0.019
ENG_00000443,POST_000047,neutral,1517,818,478,0,0.024
ENG_00000444,POST_000048,neutral,3130,1356,247,0,0.112
ENG_00000445,POST_000048,positive,526,1901,310,0,0.11
ENG_00000446,POST_000048,positive,618,1234,170,0,0.023
ENG_00000447,POST_000048,negative,2518,365,54,0,0.044
ENG_00000448,POST_000048,positive,1710,690,52,0,0.05
ENG_00000449,POST_000048,neutral,3069,580,444,0,0.008
ENG_00000450,POST_000048,positive,1930,259,107,0,0.009
ENG_00000451,POST_000048,positive,184,1101,235,0,0.08
ENG_00000452,POST_000048,neutral,917,277,325,0,0.15
ENG_00000453,POST_000048,neutral,3053,1437,291,0,0.045
