conversion_id,post_id,campaign_id,influencer_id,order_value,customer_ltv,touchpoint_number,discount_code_used,attribution_weight,conversion_date
CONV_0000025,POST_000002,CAMP_0001,INF_0006,212.62,777.4,1,0,1.0,2023-12-04
CONV_0000026,POST_000002,CAMP_0001,INF_0006,228.65,1625.38,3,0,0.3333,2023-12-04
CONV_0000027,POST_000002,CAMP_0001,INF_0006,485.76,3661.98,1,0,1.0,2023-12-04
CONV_0000028,POST_000002,CAMP_0001,INF_0006,419.72,857.17,4,0,0.25,2023-12-04
CONV_0000029,POST_000002,CAMP_0001,INF_0006,380.21,2835.49,1,1,1.0,2023-12-04
CONV_0000030,POST_000002,CAMP_0001,INF_0006,214.92,1382.48,2,0,0.5,2023-12-04
CONV_0000031,POST_000002,CAMP_0001,INF_0006,420.28,1516.49,4,0,0.25,2023-12-04
CONV_0000032,POST_000002,CAMP_0001,INF_0006,73.23,271.15,2,1,0.5,2023-12-04
CONV_0000033,POST_000002,CAMP_0001,INF_0006,271.6,999.72,4,1,0.25,2023-12-04
CONV_0000034,POST_000002,CAMP_0001,INF_0006,474.54,2495.15,2,0,0.5,2023-12-04
CONV_0000035,POST_000002,CAMP_0001,INF_0006,282.24,2135.14,3,0,0.3333,2023-12-04
CONV_0000036,POST_000002,CAMP_0001,INF_0006,54.5,410.76,1,0,1.0,2023-12-04
CONV_0000037,POST_000002,CAMP_0001,INF_0006,179.72,1103.56,3,0,0.3333,2023-12-04
CONV_0000038,POST_000002,CAMP_0001,INF_0006,195.6,572.18,2,0,0.5,2023-12-04
CONV_0000039,POST_000002,CAMP_0001,INF_0006,73.97,492.46,2,0,0.5,2023-12-04
CONV_0000040,POST_000002,CAMP_0001,INF_0006,130.51,438.68,3,0,0.3333,2023-12-04
CONV_0000041,POST_000003,CAMP_0001,INF_0047,199.23,1323.47,2,0,0.5,2023-11-27
CONV_0000042,POST_000003,CAMP_0001,INF_0047,102.61,717.1,4,0,0.25,2023-11-27
CONV_0000043,POST_000003,CAMP_0001,INF_0047,381.73,1622.79,1,1,1.0,2023-11-27
CONV_0000044,POST_000003,CAMP_0001,INF_0047,266.09,1605.74,2,0,0.5,2023-11-27
CONV_0000045,POST_000003,CAMP_0001,INF_0047,423.44,2832.89,2,0,0.5,2023-11-27
CONV_0000046,POST_000003,CAMP_0001,INF_0047,440.35,1425.63,2,0,0.5,2023-11-27
CONV_0000047,POST_000003,CAMP_0001,INF_0047,119.69,564.56,1,1,1.0,2023-11-27
CONV_0000048,POST_000003,CAMP_0001,INF_0047,153.05,416.9,2,1,0.5,2023-11-27
CONV_0000049,POST_000003,CAMP_0001,INF_0047,367.7,2011.0,4,1,0.25,2023-11-27
CONV_0000050,POST_000003,CAMP_0001,INF_0047,436.02,3386.84,1,0,1.0,2023-11-27
CONV_0000051,POST_000003,CAMP_0001,INF_0047,99.49,755.35,3,0,0.3333,2023-11-27
CONV_0000052,POST_000003,CAMP_0001,INF_0047,295.11,1440.81,3,0,0.3333,2023-11-27
CONV_0000053,POST_000003,CAMP_0001,INF_0047,170.09,505.4,3,1,0.3333,2023-11-27
CONV_0000054,POST_000003,CAMP_0001,INF_0047,21.83,111.42,2,1,0.5,2023-11-27
CONV_0000055,POST_000003,CAMP_0001,INF_0047,365.61,2554.09,2,0,0.5,2023-11-27
CONV_0000056,POST_000003,CAMP_0001,INF_0047,326.01,2229.81,1,0,1.0,2023-11-27
CONV_0000057,POST_000003,CAMP_0001,INF_0047,191.04,755.04,1,0,1.0,2023-11-27
CONV_0000058,POST_000003,CAMP_0001,INF_0047,234.57,1072.63,4,1,0.25,2023-11-27
CONV_0000059,POST_000003,CAMP_0001,INF_0047,213.17,471.74,4,0,0.25,2023-11-27
CONV_0000060,POST_000003,CAMP_0001,INF_0047,329.56,1778.96,2,1,0.5,2023-11-27
CONV_0000061,POST_000004,CAMP_0001,INF_0081,260.25,745.97,2,1,0.5,2023-11-17
CONV_0000062,POST_000004,CAMP_0001,INF_0081,186.54,1456.15,2,0,0.5,2023-11-17
CONV_0000063,POST_000004,CAMP_0001,INF_0081,89.5,210.61,2,0,0.5,2023-11-17
CONV_0000064,POST_000004,CAMP_0001,INF_0081,205.92,1420.93,3,1,0.3333,2023-11-17
CONV_0000065,POST_000004,CAMP_0001,INF_0081,75.47,392.15,1,0,1.0,2023-11-17
CONV_0000066,POST_000004,CAMP_0001,INF_0081,263.2,2045.44,4,0,0.25,2023-11-17
CONV_0000067,POST_000004,CAMP_0001,INF_0081,190.03,1100.06,1,1,1.0,2023-11-17
CONV_0000068,POST_000004,CAMP_0001,INF_0081,407.78,2437.27,3,0,0.3333,2023-11-17
CONV_0000069,POST_000004,CAMP_0001,INF_0081,330.07,880.84,4,1,0.25,2023-11-17
CONV_0000070,POST_000004,CAMP_0001,INF_0081,436.28,1382.1,2,0,0.5,2023-11-17
CONV_0000071,POST_000004,CAMP_0001,INF_0081,147.08,585.73,1,0,1.0,2023-11-17
CONV_0000072,POST_000004,CAMP_0001,INF_0081,443.64,1152.86,3,1,0.3333,2023-11-17
CONV_0000073,POST_000004,CAMP_0001,INF_0081,106.9,797.08,1,0,1.0,2023-11-17
CONV_0000074,POST_000004,CAMP_0001,INF_0081,480.05,1009.33,1,0,1.0,2023-11-17
CONV_0000075,POST_000004,CAMP_0001,INF_0081,44.18,152.53,2,0,0.5,2023-11-17
CONV_0000076,POST_000004,CAMP_0001,INF_0081,160.07,1246.3,4,0,0.25,2023-11-17
CONV_0000077,POST_000004,CAMP_0001,INF_0081,156.91,702.95,1,0,1.0,2023-11-17
CONV_0000078,POST_000004,CAMP_0001,INF_0081,447.17,2878.67,1,0,1.0,2023-11-17
CONV_0000079,POST_000004,CAMP_0001,INF_0081,398.29,2603.5,1,0,1.0,2023-11-17
CONV_0000080,POST_000004,CAMP_0001,INF_0081,220.58,1043.69,3,0,0.3333,2023-11-17
CONV_0000081,POST_000005,CAMP_0001,INF_0073,285.01,1946.06,1,0,1.0,2023-11-05
CONV_0000082,POST_000005,CAMP_0001,INF_0073,118.28,471.91,3,1,0.3333,2023-11-05
CONV_0000083,POST_000005,CAMP_0001,INF_0073,113.03,485.16,1,0,1.0,2023-11-05
CONV_0000084,POST_000005,CAMP_0001,INF_0073,221.44,1237.55,1,1,1.0,2023-11-05
CONV_0000085,POST_000005,CAMP_0001,INF_0073,256.67,1274.92,1,0,1.0,2023-11-05
CONV_0000086,POST_000005,CAMP_0001,INF_0073,128.82,779.27,1,0,1.0,2023-11-05
CONV_0000087,POST_000005,CAMP_0001,INF_0073,362.75,2195.54,3,0,0.3333,2023-11-05
CONV_0000088,POST_000005,CAMP_0001,INF_0073,469.5,2910.95,2,0,0.5,2023-11-05
CONV_0000089,POST_000005,CAMP_0001,INF_0073,146.29,415.49,1,1,1.0,2023-11-05
CONV_0000090,POST_000005,CAMP_0001,INF_0073,227.12,1020.32,2,0,0.5,2023-11-05
CONV_0000091,POST_000005,CAMP_0001,INF_0073,381.46,2627.29,3,1,0.3333,2023-11-05
CONV_0000092,POST_000005,CAMP_0001,INF_0073,200.85,623.4,3,1,0.3333,2023-11-05
CONV_0000093,POST_000005,CAMP_0001,INF_0073,291.88,1021.79,4,0,0.25,2023-11-05
CONV_0000094,POST_000005,CAMP_0001,INF_0073,48.22,313.45,3,0,0.3333,2023-11-05
CONV_0000095,POST_000005,CAMP_0001,INF_0073,87.38,645.56,4,0,0.25,2023-11-05
CONV_0000096,POST_000005,CAMP_0001,INF_0073,25.81,136.85,3,0,0.3333,2023-11-05
CONV_0000097,POST_000005,CAMP_0001,INF_0073,246.29,562.06,2,0,0.5,2023-11-05
CONV_0000098,POST_000005,CAMP_0001,INF_0073,397.29,1557.9,1,0,1.0,2023-11-05
CONV_0000099,POST_000005,CAMP_0001,INF_0073,47.59,332.08,2,0,0.5,2023-11-05
CONV_0000100,POST_000005,CAMP_0001,INF_0073,372.17,841.24,1,0,1.0,2023-11-05
CONV_0000101,POST_000006,CAMP_0001,INF_0040,208.58,505.75,4,1,0.25,2023-11-28
CONV_0000102,POST_000006,CAMP_0001,INF_0040,499.36,3634.59,1,0,1.0,2023-11-28
CONV_0000103,POST_000006,CAMP_0001,INF_0040,96.98,317.25,2,0,0.5,2023-11-28
CONV_0000104,POST_000006,CAMP_0001,INF_0040,412.6,1084.89,2,0,0.5,2023-11-28
CONV_0000105,POST_000006,CAMP_0001,INF_0040,284.85,973.66,3,1,0.3333,2023-11-28
CONV_0000106,POST_000006,CAMP_0001,INF_0040,249.16,1811.85,2,0,0.5,2023-11-28
CONV_0000107,POST_000006,CAMP_0001,INF_0040,442.05,2202.56,2,1,0.5,2023-11-28
CONV_0000108,POST_000006,CAMP_0001,INF_0040,231.49,835.1,1,0,1.0,2023-11-28
CONV_0000109,POST_000006,CAMP_0001,INF_0040,448.11,1379.29,2,0,0.5,2023-11-28
CONV_0000110,POST_000006,CAMP_0001,INF_0040,168.06,1023.31,1,0,1.0,2023-11-28
CONV_0000111,POST_000006,CAMP_0001,INF_0040,148.55,314.35,1,0,1.0,2023-11-28
CONV_0000112,POST_000006,CAMP_0001,INF_0040,314.11,2396.62,4,0,0.25,2023-11-28
CONV_0000113,POST_000006,CAMP_0001,INF_0040,325.9,1337.15,1,0,1.0,2023-11-28
CONV_0000114,POST_000006,CAMP_0001,INF_0040,491.07,3240.33,2,0,0.5,2023-11-28
CONV_0000115,POST_000006,CAMP_0001,INF_0040,205.16,812.62,4,0,0.25,2023-11-28
CONV_0000116,POST_000006,CAMP_0001,INF_0040,44.55,146.75,4,0,0.25,2023-11-28
CONV_0000117,POST_000006,CAMP_0001,INF_0040,63.2,310.73,2,0,0.5,2023-11-28
CONV_0000118,POST_000006,CAMP_0001,INF_0040,484.52,1789.67,2,0,0.5,2023-11-28
CONV_0000119,POST_000006,CAMP_0001,INF_0040,352.2,2380.67,4,0,0.25,2023-11-28
CONV_0000120,POST_000006,CAMP_0001,INF_0040,213.1,1642.51,3,0,0.3333,2023-11-28
CONV_0000121,POST_000007,CAMP_0001,INF_0082,60.83,228.88,3,1,0.3333,2023-11-25
CONV_0000122,POST_000007,CAMP_0001,INF_0082,171.0,491.36,2,0,0.5,2023-11-25
CONV_0000123,POST_000007,CAMP_0001,INF_0082,69.05,318.66,1,1,1.0,2023-11-25
CONV_0000124,POST_000007,CAMP_0001,INF_0082,436.37,1792.67,4,1,0.25,2023-11-25
CONV_0000125,POST_000007,CAMP_0001,INF_0082,349.25,1601.7,4,1,0.25,2023-11-25
CONV_0000126,POST_000007,CAMP_0001,INF_0082,232.92,521.29,1,1,1.0,2023-11-25
CONV_0000127,POST_000007,CAMP_0001,INF_0082,390.08,1598.1,4,0,0.25,2023-11-25
CONV_0000128,POST_000007,CAMP_0001,INF_0082,29.69,181.93,1,0,1.0,2023-11-25
CONV_0000129,POST_000007,CAMP_0001,INF_0082,171.48,1115.59,2,1,0.5,2023-11-25
CONV_0000130,POST_000007,CAMP_0001,INF_0082,381.5,1003.77,4,0,0.25,2023-11-25
CONV_0000131,POST_000007,CAMP_0001,INF_0082,244.9,1852.84,4,0,0.25,2023-11-25
CONV_0000132,POST_000007,CAMP_0001,INF_0082,340.62,2135.46,4,0,0.25,2023-11-25
CONV_0000133,POST_000007,CAMP_0001,INF_0082,250.23,1730.04,4,0,0.25,2023-11-25
CONV_0000134,POST_000007,CAMP_0001,INF_0082,377.94,996.7,2,1,0.5,2023-11-25
CONV_0000135,POST_000007,CAMP_0001,INF_0082,212.24,775.11,4,0,0.25,2023-11-25
CONV_0000136,POST_000007,CAMP_0001,INF_0082,244.4,1368.91,1,0,1.0,2023-11-25
CONV_0000137,POST_000007,CAMP_0001,INF_0082,154.5,737.93,4,0,0.25,2023-11-25
CONV_0000138,POST_000007,CAMP_0001,INF_0082,459.61,1685.77,1,0,1.0,2023-11-25
CONV_0000139,POST_000007,CAMP_0001,INF_0082,338.28,2122.43,3,1,0.3333,2023-11-25
CONV_0000140,POST_000007,CAMP_0001,INF_0082,192.73,464.78,1,0,1.0,2023-11-25
CONV_0000141,POST_000008,CAMP_0001,INF_0075,91.9,547.27,4,0,0.25,2023-11-19
CONV_0000142,POST_000008,CAMP_0001,INF_0075,406.57,2580.64,4,0,0.25,2023-11-19
CONV_0000143,POST_000008,CAMP_0001,INF_0075,228.01,1734.89,2,0,0.5,2023-11-19
CONV_0000144,POST_000008,CAMP_0001,INF_0075,54.82,336.54,2,0,0.5,2023-11-19
CONV_0000145,POST_000008,CAMP_0001,INF_0075,35.22,119.58,1,1,1.0,2023-11-19
CONV_0000146,POST_000008,CAMP_0001,INF_0075,248.78,1145.41,4,0,0.25,2023-11-19
CONV_0000147,POST_000008,CAMP_0001,INF_0075,233.39,794.65,1,1,1.0,2023-11-19
CONV_0000148,POST_000008,CAMP_0001,INF_0075,152.82,864.02,3,0,0.3333,2023-11-19
CONV_0000149,POST_000008,CAMP_0001,INF_0075,223.88,1536.1,2,1,0.5,2023-11-19
CONV_0000150,POST_000008,CAMP_0001,INF_0075,58.81,222.59,3,0,0.3333,2023-11-19
CONV_0000151,POST_000008,CAMP_0001,INF_0075,378.55,1535.39,2,0,0.5,2023-11-19
CONV_0000152,POST_000008,CAMP_0001,INF_0075,492.55,1534.16,4,0,0.25,2023-11-19
CONV_0000153,POST_000008,CAMP_0001,INF_0075,270.07,907.5,1,0,1.0,2023-11-19
CONV_0000154,POST_000008,CAMP_0001,INF_0075,407.44,2897.09,3,1,0.3333,2023-11-19
CONV_0000155,POST_000008,CAMP_0001,INF_0075,111.99,289.25,1,0,1.0,2023-11-19
CONV_0000156,POST_000008,CAMP_0001,INF_0075,398.24,1283.45,4,0,0.25,2023-11-19
CONV_0000157,POST_000008,CAMP_0001,INF_0075,332.23,2005.54,3,1,0.3333,2023-11-19
CONV_0000158,POST_000008,CAMP_0001,INF_0075,448.39,1080.07,1,0,1.0,2023-11-19
CONV_0000159,POST_000008,CAMP_0001,INF_0075,152.19,634.12,1,1,1.0,2023-11-19
CONV_0000160,POST_000008,CAMP_0001,INF_0075,431.45,2388.81,3,0,0.3333,2023-11-19
CONV_0000161,POST_000010,CAMP_0001,INF_0005,374.26,880.94,2,0,0.5,2023-12-01
CONV_0000162,POST_000010,CAMP_0001,INF_0005,47.56,264.08,3,0,0.3333,2023-12-01
CONV_0000163,POST_000010,CAMP_0001,INF_0005,200.75,619.69,4,0,0.25,2023-12-01
CONV_0000164,POST_000010,CAMP_0001,INF_0005,280.6,1998.17,1,1,1.0,2023-12-01
CONV_0000165,POST_000010,CAMP_0001,INF_0005,391.16,2398.24,3,0,0.3333,2023-12-01
CONV_0000166,POST_000010,CAMP_0001,INF_0005,483.08,3696.66,1,0,1.0,2023-12-01
CONV_0000167,POST_000010,CAMP_0001,INF_0005,322.32,1510.42,3,1,0.3333,2023-12-01
CONV_0000168,POST_000010,CAMP_0001,INF_0005,384.33,1831.71,1,1,1.0,2023-12-01
CONV_0000169,POST_000010,CAMP_0001,INF_0005,240.73,1793.01,3,1,0.3333,2023-12-01
CONV_0000170,POST_000010,CAMP_0001,INF_0005,59.84,146.81,4,1,0.25,2023-12-01
CONV_0000171,POST_000010,CAMP_0001,INF_0005,150.31,314.11,1,0,1.0,2023-12-01
CONV_0000172,POST_000010,CAMP_0001,INF_0005,312.55,1887.2,4,0,0.25,2023-12-01
CONV_0000173,POST_000010,CAMP_0001,INF_0005,302.49,1556.97,3,1,0.3333,2023-12-01
CONV_0000174,POST_000010,CAMP_0001,INF_0005,67.18,314.72,1,0,1.0,2023-12-01
CONV_0000175,POST_000010,CAMP_0001,INF_0005,346.41,2327.39,4,0,0.25,2023-12-01
CONV_0000176,POST_000010,CAMP_0001,INF_0005,339.09,1391.21,3,0,0.3333,2023-12-01
CONV_0000177,POST_000010,CAMP_0001,INF_0005,59.09,339.58,4,0,0.25,2023-12-01
CONV_0000178,POST_000010,CAMP_0001,INF_0005,425.19,3286.43,3,0,0.3333,2023-12-01
CONV_0000179,POST_000010,CAMP_0001,INF_0005,43.69,239.06,2,0,0.5,2023-12-01
CONV_0000180,POST_000010,CAMP_0001,INF_0005,362.91,2491.97,3,0,0.3333,2023-12-01
CONV_0000181,POST_000011,CAMP_0001,INF_0035,104.31,506.97,4,0,0.25,2023-12-04
CONV_0000182,POST_000011,CAMP_0001,INF_0035,339.8,2465.04,1,0,1.0,2023-12-04
CONV_0000183,POST_000011,CAMP_0001,INF_0035,40.62,192.15,3,0,0.3333,2023-12-04
CONV_0000184,POST_000011,CAMP_0001,INF_0035,245.15,1035.92,1,1,1.0,2023-12-04
CONV_0000185,POST_000011,CAMP_0001,INF_0035,89.55,401.63,1,1,1.0,2023-12-04
CONV_0000186,POST_000011,CAMP_0001,INF_0035,168.97,744.5,1,0,1.0,2023-12-04
CONV_0000187,POST_000011,CAMP_0001,INF_0035,321.58,765.14,4,1,0.25,2023-12-04
CONV_0000188,POST_000011,CAMP_0001,INF_0035,141.68,794.43,4,1,0.25,2023-12-04
CONV_0000189,POST_000011,CAMP_0001,INF_0035,443.77,2980.94,1,0,1.0,2023-12-04
CONV_0000190,POST_000011,CAMP_0001,INF_0035,217.86,1617.76,4,0,0.25,2023-12-04
CONV_0000191,POST_000011,CAMP_0001,INF_0035,479.23,3373.8,1,1,1.0,2023-12-04
CONV_0000192,POST_000011,CAMP_0001,INF_0035,277.59,1676.59,4,0,0.25,2023-12-04
CONV_0000193,POST_000011,CAMP_0001,INF_0035,395.79,1367.6,1,0,1.0,2023-12-04
CONV_0000194,POST_000011,CAMP_0001,INF_0035,159.22,904.92,2,0,0.5,2023-12-04
CONV_0000195,POST_000011,CAMP_0001,INF_0035,250.72,1944.41,3,0,0.3333,2023-12-04
CONV_0000196,POST_000011,CAMP_0001,INF_0035,300.83,1783.3,1,0,1.0,2023-12-04
CONV_0000197,POST_000011,CAMP_0001,INF_0035,341.77,1311.91,1,0,1.0,2023-12-04
CONV_0000198,POST_000011,CAMP_0001,INF_0035,473.36,3238.08,3,0,0.3333,2023-12-04
CONV_0000199,POST_000011,CAMP_0001,INF_0035,290.95,1153.7,4,0,0.25,2023-12-04
CONV_0000200,POST_000011,CAMP_0001,INF_0035,293.3,1163.16,1,0,1.0,2023-12-04
CONV_0000201,POST_000012,CAMP_0002,INF_0040,458.52,2067.76,3,0,0.3333,2023-10-14
CONV_0000202,POST_000012,CAMP_0002,INF_0040,64.45,329.67,3,0,0.3333,2023-10-14
CONV_0000203,POST_000012,CAMP_0002,INF_0040,297.08,2083.75,1,0,1.0,2023-10-14
CONV_0000204,POST_000012,CAMP_0002,INF_0040,183.86,1217.98,2,0,0.5,2023-10-14
CONV_0000205,POST_000012,CAMP_0002,INF_0040,106.65,314.4,4,0,0.25,2023-10-14
CONV_0000206,POST_000012,CAMP_0002,INF_0040,429.76,3124.88,2,0,0.5,2023-10-14
CONV_0000207,POST_000012,CAMP_0002,INF_0040,447.89,2989.24,3,1,0.3333,2023-10-14
CONV_0000208,POST_000012,CAMP_0002,INF_0040,444.98,2004.97,2,0,0.5,2023-10-14
CONV_0000209,POST_000012,CAMP_0002,INF_0040,374.75,827.69,1,0,1.0,2023-10-14
CONV_0000210,POST_000012,CAMP_0002,INF_0040,372.57,2211.54,1,0,1.0,2023-10-14
CONV_0000211,POST_000012,CAMP_0002,INF_0040,322.96,1387.71,1,0,1.0,2023-10-14
CONV_0000212,POST_000012,CAMP_0002,INF_0040,201.32,993.2,2,1,0.5,2023-10-14
CONV_0000213,POST_000012,CAMP_0002,INF_0040,489.67,2666.67,4,0,0.25,2023-10-14
CONV_0000214,POST_000012,CAMP_0002,INF_0040,387.93,842.27,4,0,0.25,2023-10-14
CONV_0000215,POST_000012,CAMP_0002,INF_0040,361.68,864.69,3,1,0.3333,2023-10-14
CONV_0000216,POST_000012,CAMP_0002,INF_0040,262.42,1622.34,2,1,0.5,2023-10-14
CONV_0000217,POST_000012,CAMP_0002,INF_0040,116.23,566.18,2,1,0.5,2023-10-14
CONV_0000218,POST_000012,CAMP_0002,INF_0040,377.36,2289.72,1,0,1.0,2023-10-14
CONV_0000219,POST_000012,CAMP_0002,INF_0040,371.0,2153.49,4,0,0.25,2023-10-14
CONV_0000220,POST_000012,CAMP_0002,INF_0040,439.53,2305.9,3,0,0.3333,2023-10-14
CONV_0000221,POST_000013,CAMP_0002,INF_0024,153.77,675.59,4,0,0.25,2023-11-04
CONV_0000222,POST_000013,CAMP_0002,INF_0024,314.13,2382.68,4,0,0.25,2023-11-04
CONV_0000223,POST_000013,CAMP_0002,INF_0024,74.46,181.81,3,0,0.3333,2023-11-04
CONV_0000224,POST_000013,CAMP_0002,INF_0024,68.81,257.75,2,1,0.5,2023-11-04
CONV_0000225,POST_000013,CAMP_0002,INF_0024,460.84,2502.39,1,0,1.0,2023-11-04
CONV_0000226,POST_000013,CAMP_0002,INF_0024,146.95,452.47,1,0,1.0,2023-11-04
CONV_0000227,POST_000013,CAMP_0002,INF_0024,391.53,2677.22,1,0,1.0,2023-11-04
CONV_0000228,POST_000013,CAMP_0002,INF_0024,464.15,3162.34,4,0,0.25,2023-11-04
CONV_0000229,POST_000013,CAMP_0002,INF_0024,428.93,1879.98,2,0,0.5,2023-11-04
CONV_0000230,POST_000013,CAMP_0002,INF_0024,365.16,1833.12,2,0,0.5,2023-11-04
CONV_0000231,POST_000013,CAMP_0002,INF_0024,233.6,1529.92,1,0,1.0,2023-11-04
CONV_0000232,POST_000013,CAMP_0002,INF_0024,65.77,239.51,1,0,1.0,2023-11-04
CONV_0000233,POST_000013,CAMP_0002,INF_0024,223.01,785.62,4,0,0.25,2023-11-04
CONV_0000234,POST_000013,CAMP_0002,INF_0024,293.43,871.9,4,1,0.25,2023-11-04
CONV_0000235,POST_000013,CAMP_0002,INF_0024,221.24,1440.65,4,0,0.25,2023-11-04
CONV_0000236,POST_000013,CAMP_0002,INF_0024,42.32,230.54,3,1,0.3333,2023-11-04
CONV_0000237,POST_000013,CAMP_0002,INF_0024,374.27,2036.14,1,0,1.0,2023-11-04
CONV_0000238,POST_000013,CAMP_0002,INF_0024,308.53,1430.16,1,0,1.0,2023-11-04
CONV_0000239,POST_000013,CAMP_0002,INF_0024,411.51,1230.43,2,0,0.5,2023-11-04
CONV_0000240,POST_000013,CAMP_0002,INF_0024,249.34,641.68,1,1,1.0,2023-11-04
CONV_0000241,POST_000014,CAMP_0002,INF_0033,64.55,184.6,2,0,0.5,2023-11-11
CONV_0000242,POST_000014,CAMP_0002,INF_0033,55.98,283.89,3,0,0.3333,2023-11-11
CONV_0000243,POST_000014,CAMP_0002,INF_0033,460.13,3220.24,1,0,1.0,2023-11-11
CONV_0000244,POST_000014,CAMP_0002,INF_0033,129.75,300.61,3,0,0.3333,2023-11-11
CONV_0000245,POST_000014,CAMP_0002,INF_0033,311.06,1494.78,3,0,0.3333,2023-11-11
CONV_0000246,POST_000014,CAMP_0002,INF_0033,148.73,796.21,2,0,0.5,2023-11-11
CONV_0000247,POST_000014,CAMP_0002,INF_0033,312.59,1227.46,1,0,1.0,2023-11-11
CONV_0000248,POST_000014,CAMP_0002,INF_0033,294.83,1283.87,2,0,0.5,2023-11-11
CONV_0000249,POST_000014,CAMP_0002,INF_0033,257.77,712.69,3,1,0.3333,2023-11-11
CONV_0000250,POST_000014,CAMP_0002,INF_0033,378.17,1675.35,2,1,0.5,2023-11-11
CONV_0000251,POST_000014,CAMP_0002,INF_0033,268.57,1856.97,1,0,1.0,2023-11-11
CONV_0000252,POST_000014,CAMP_0002,INF_0033,431.74,1214.12,4,0,0.25,2023-11-11
CONV_0000253,POST_000014,CAMP_0002,INF_0033,352.57,1121.2,1,0,1.0,2023-11-11
CONV_0000254,POST_000014,CAMP_0002,INF_0033,290.25,1828.25,1,1,1.0,2023-11-11
CONV_0000255,POST_000014,CAMP_0002,INF_0033,134.48,872.82,1,0,1.0,2023-11-11
CONV_0000256,POST_000014,CAMP_0002,INF_0033,309.92,1211.86,3,0,0.3333,2023-11-11
CONV_0000257,POST_000014,CAMP_0002,INF_0033,134.84,1046.14,3,0,0.3333,2023-11-11
CONV_0000258,POST_000014,CAMP_0002,INF_0033,338.62,1033.73,4,1,0.25,2023-11-11
CONV_0000259,POST_000014,CAMP_0002,INF_0033,297.22,972.62,4,0,0.25,2023-11-11
CONV_0000260,POST_000014,CAMP_0002,INF_0033,297.42,2070.5,1,0,1.0,2023-11-11
CONV_0000261,POST_000015,CAMP_0002,INF_0029,205.57,897.95,2,1,0.5,2023-10-18
CONV_0000262,POST_000015,CAMP_0002,INF_0029,181.4,944.86,3,1,0.3333,2023-10-18
CONV_0000263,POST_000015,CAMP_0002,INF_0029,499.38,2191.67,3,0,0.3333,2023-10-18
CONV_0000264,POST_000015,CAMP_0002,INF_0029,206.77,1429.69,4,1,0.25,2023-10-18
CONV_0000265,POST_000015,CAMP_0002,INF_0029,147.68,607.79,2,0,0.5,2023-10-18
CONV_0000266,POST_000015,CAMP_0002,INF_0029,312.89,2126.11,1,1,1.0,2023-10-18
CONV_0000267,POST_000015,CAMP_0002,INF_0029,374.79,1428.0,1,1,1.0,2023-10-18
CONV_0000268,POST_000015,CAMP_0002,INF_0029,106.79,510.11,2,0,0.5,2023-10-18
